"competition","club","player","position","reason","matches_missed","age","injury","yellow_cards","injured_since","injured_until","data_type","since","until","player_market_value","player_url","nationality","second_nationality"
"LaLiga","Sevilla FC","Isaac Romero","Centre-Forward","Red card suspension",2,25,NA,NA,NA,NA,"suspensions",NA,NA,NA,NA,NA,NA
"LaLiga","Sevilla FC","Lucien Agoumé","Defensive Midfield",NA,NA,23,NA,4,NA,NA,"risk_of_suspension",NA,NA,NA,NA,NA,NA
"LaLiga","Girona FC","Vitor Reis","Centre-Back",NA,NA,19,NA,4,NA,NA,"risk_of_suspension",NA,NA,NA,NA,NA,NA
"LaLiga","Villarreal CF","Santiago Mouriño","Right-Back",NA,NA,23,NA,4,NA,NA,"risk_of_suspension",NA,NA,NA,NA,NA,NA
"LaLiga","Real Betis Balompié","Natan","Centre-Back",NA,NA,24,NA,4,NA,NA,"risk_of_suspension",NA,NA,NA,NA,NA,NA
"LaLiga","Real Sociedad","Jon Gorrotxategi","Defensive Midfield",NA,NA,23,NA,4,NA,NA,"risk_of_suspension",NA,NA,NA,NA,NA,NA
"LaLiga","Valencia CF","César Tárrega","Centre-Back",NA,NA,23,NA,4,NA,NA,"risk_of_suspension",NA,NA,NA,NA,NA,NA
"LaLiga","RCD Mallorca","Samú Costa","Defensive Midfield",NA,NA,25,NA,4,NA,NA,"risk_of_suspension",NA,NA,NA,NA,NA,NA
"LaLiga","Sevilla FC","Peque Fernández","Second Striker",NA,NA,23,NA,4,NA,NA,"risk_of_suspension",NA,NA,NA,NA,NA,NA
"LaLiga","Villarreal CF","Tajon Buchanan","Right Winger",NA,NA,26,NA,4,NA,NA,"risk_of_suspension",NA,NA,NA,NA,NA,NA
"LaLiga","Levante UD","Manu Sánchez","Left-Back",NA,NA,25,NA,4,NA,NA,"risk_of_suspension",NA,NA,NA,NA,NA,NA
"LaLiga","Girona FC","Azzedine Ounahi","Central Midfield",NA,NA,25,NA,4,NA,NA,"risk_of_suspension",NA,NA,NA,NA,NA,NA
"LaLiga","Valencia CF","José Gayà","Left-Back",NA,NA,30,NA,4,NA,NA,"risk_of_suspension",NA,NA,NA,NA,NA,NA
"LaLiga","CA Osasuna","Enzo Boyomo","Centre-Back",NA,NA,24,NA,4,NA,NA,"risk_of_suspension",NA,NA,NA,NA,NA,NA
"LaLiga","Sevilla FC","Tanguy Nianzou","Centre-Back",NA,NA,23,NA,4,NA,NA,"risk_of_suspension",NA,NA,NA,NA,NA,NA
"LaLiga","Rayo Vallecano","Andrei Rațiu","Right-Back",NA,NA,27,NA,4,NA,NA,"risk_of_suspension",NA,NA,NA,NA,NA,NA
"LaLiga","Athletic Bilbao","Dani Vivian","Centre-Back",NA,NA,26,NA,4,NA,NA,"risk_of_suspension",NA,NA,NA,NA,NA,NA
"LaLiga","Real Oviedo","David Carmo","Centre-Back",NA,NA,26,NA,4,NA,NA,"risk_of_suspension",NA,NA,NA,NA,NA,NA
"LaLiga","Elche CF","David Affengruber","Centre-Back",NA,NA,24,NA,4,NA,NA,"risk_of_suspension",NA,NA,NA,NA,NA,NA
"LaLiga","Real Madrid","Aurélien Tchouaméni","Defensive Midfield",NA,NA,25,NA,4,NA,NA,"risk_of_suspension",NA,NA,NA,NA,NA,NA
"LaLiga","Real Sociedad","Igor Zubeldia","Centre-Back",NA,NA,28,NA,4,NA,NA,"risk_of_suspension",NA,NA,NA,NA,NA,NA
"LaLiga","RCD Mallorca","Pablo Maffeo","Right-Back",NA,NA,28,NA,4,NA,NA,"risk_of_suspension",NA,NA,NA,NA,NA,NA
"LaLiga","RCD Espanyol Barcelona","Pere Milla","Left Winger",NA,NA,33,NA,4,NA,NA,"risk_of_suspension",NA,NA,NA,NA,NA,NA
"LaLiga","Atlético de Madrid","Marcos Llorente","Right-Back",NA,NA,30,"Hamstring injury",NA,NA,NA,"injuries",NA,NA,2.5e+07,"https://www.transfermarkt.com/marcos-llorente/profil/spieler/282411","Spain",NA
"LaLiga","Girona FC","Vladyslav Krapyvtsov","Goalkeeper",NA,NA,20,"unknown injury",NA,NA,NA,"injuries",NA,NA,4e+05,"https://www.transfermarkt.com/vladyslav-krapyvtsov/profil/spieler/1169436","Ukraine",NA
"LaLiga","Girona FC","Juan Carlos","Goalkeeper",NA,NA,37,"Knee injury",NA,NA,NA,"injuries",NA,NA,1e+05,"https://www.transfermarkt.com/juan-carlos/profil/spieler/120705","Spain",NA
"LaLiga","Girona FC","Cristhian Stuani","Centre-Forward",NA,NA,39,"Calf injury",NA,NA,NA,"injuries",NA,NA,1e+06,"https://www.transfermarkt.com/cristhian-stuani/profil/spieler/59323","Uruguay","Italy"
"LaLiga","Levante UD","Carlos Espí","Centre-Forward",NA,NA,20,"Muscle tear",NA,NA,NA,"injuries",NA,NA,2e+06,"https://www.transfermarkt.com/carlos-espi/profil/spieler/1063338","Spain",NA
"LaLiga","Real Sociedad","Yangel Herrera","Central Midfield",NA,NA,27,"Calf injury",NA,NA,NA,"injuries",NA,NA,1.1e+07,"https://www.transfermarkt.com/yangel-herrera/profil/spieler/378293","Venezuela","Spain"
"LaLiga","Real Sociedad","Mikel Oyarzabal","Centre-Forward",NA,NA,28,"Muscle injury",NA,NA,NA,"injuries",NA,NA,2e+07,"https://www.transfermarkt.com/mikel-oyarzabal/profil/spieler/351478","Spain",NA
"LaLiga","Sevilla FC","Tanguy Nianzou","Centre-Back",NA,NA,23,"Hamstring injury",NA,NA,NA,"injuries",NA,NA,1500000,"https://www.transfermarkt.com/tanguy-nianzou/profil/spieler/538996","France","Cote d'Ivoire"
"LaLiga","Sevilla FC","Gabriel Suazo","Left-Back",NA,NA,28,"Muscle injury",NA,NA,NA,"injuries",NA,NA,4e+06,"https://www.transfermarkt.com/gabriel-suazo/profil/spieler/385105","Chile",NA
"LaLiga","Sevilla FC","Rubén Vargas","Left Winger",NA,NA,27,"Hamstring injury",NA,NA,NA,"injuries",NA,NA,1.1e+07,"https://www.transfermarkt.com/ruben-vargas/profil/spieler/345886","Switzerland","Dominican Republic"
"LaLiga","Sevilla FC","Adnan Januzaj","Right Winger",NA,NA,30,"Hamstring injury",NA,NA,NA,"injuries",NA,NA,1200000,"https://www.transfermarkt.com/adnan-januzaj/profil/spieler/177847","Belgium","Kosovo"
"LaLiga","Rayo Vallecano","Randy Nteka","Attacking Midfield",NA,NA,27,"muscular problems",NA,NA,NA,"injuries",NA,NA,1500000,"https://www.transfermarkt.com/randy-nteka/profil/spieler/560483","Angola","France"
"LaLiga","FC Barcelona","Marc-André ter Stegen","Goalkeeper",NA,NA,33,"Fitness",NA,NA,NA,"injuries",NA,NA,8e+06,"https://www.transfermarkt.com/marc-andre-ter-stegen/profil/spieler/74857","Germany",NA
"LaLiga","Atlético de Madrid","José María Giménez","Centre-Back",NA,NA,30,"Hamstring injury",NA,NA,NA,"injuries",NA,NA,1.5e+07,"https://www.transfermarkt.com/jose-maria-gimenez/profil/spieler/250845","Uruguay","Spain"
"LaLiga","Atlético de Madrid","Robin Le Normand","Centre-Back",NA,NA,29,"Knee injury",NA,NA,NA,"injuries",NA,NA,3.5e+07,"https://www.transfermarkt.com/robin-le-normand/profil/spieler/351809","Spain","France"
"LaLiga","Atlético de Madrid","Johnny Cardoso","Defensive Midfield",NA,NA,24,"Knee bruise",NA,NA,NA,"injuries",NA,NA,2.5e+07,"https://www.transfermarkt.com/johnny-cardoso/profil/spieler/689505","United States","Italy"
"LaLiga","RCD Mallorca","Leo Román","Goalkeeper",NA,NA,25,"Hamstring injury",NA,NA,NA,"injuries",NA,NA,5e+06,"https://www.transfermarkt.com/leo-roman/profil/spieler/562742","Spain",NA
"LaLiga","FC Barcelona","Ronald Araujo","Centre-Back",NA,NA,26,"depression",NA,NA,NA,"injuries",NA,NA,3.5e+07,"https://www.transfermarkt.com/ronald-araujo/profil/spieler/480267","Uruguay","Spain"
"LaLiga","Valencia CF","Largie Ramazani","Left Winger",NA,NA,24,"Muscle injury",NA,NA,NA,"injuries",NA,NA,7500000,"https://www.transfermarkt.com/largie-ramazani/profil/spieler/518644","Belgium","Burundi"
"LaLiga","Athletic Bilbao","Robert Navarro","Right Winger",NA,NA,23,"ankle sprain",NA,NA,NA,"injuries",NA,NA,6e+06,"https://www.transfermarkt.com/robert-navarro/profil/spieler/563137","Spain",NA
"LaLiga","FC Barcelona","Frenkie de Jong","Central Midfield",NA,NA,28,"Fever",NA,NA,NA,"injuries",NA,NA,4.5e+07,"https://www.transfermarkt.com/frenkie-de-jong/profil/spieler/326330","Netherlands",NA
"LaLiga","Sevilla FC","Marcão","Centre-Back",NA,NA,29,"strain",NA,NA,NA,"injuries",NA,NA,2e+06,"https://www.transfermarkt.com/marcao/profil/spieler/439022","Brazil",NA
"LaLiga","FC Barcelona","Fermín López","Attacking Midfield",NA,NA,22,"Muscle injury",NA,NA,NA,"injuries",NA,NA,6e+07,"https://www.transfermarkt.com/fermin-lopez/profil/spieler/636703","Spain",NA
"LaLiga","Levante UD","Pablo Martínez","Central Midfield",NA,NA,27,"ankle sprain",NA,NA,NA,"injuries",NA,NA,2e+06,"https://www.transfermarkt.com/pablo-martinez/profil/spieler/568835","Spain",NA
"LaLiga","Atlético de Madrid","Álex Baena","Left Winger",NA,NA,24,"Hamstring injury",NA,NA,NA,"injuries",NA,NA,5.5e+07,"https://www.transfermarkt.com/alex-baena/profil/spieler/548111","Spain",NA
"LaLiga","Athletic Bilbao","Iñaki Williams","Right Winger",NA,NA,31,"Adductor injury",NA,NA,NA,"injuries",NA,NA,1.5e+07,"https://www.transfermarkt.com/inaki-williams/profil/spieler/255508","Ghana","Spain"
"LaLiga","Real Sociedad","Orri Óskarsson","Centre-Forward",NA,NA,21,"Thigh problems",NA,NA,NA,"injuries",NA,NA,1.5e+07,"https://www.transfermarkt.com/orri-oskarsson/profil/spieler/660438","Iceland",NA
"LaLiga","Real Madrid","Ferland Mendy","Left-Back",NA,NA,30,"Muscle injury",NA,NA,NA,"injuries",NA,NA,1e+07,"https://www.transfermarkt.com/ferland-mendy/profil/spieler/291417","France","Senegal"
"LaLiga","Real Oviedo","Álvaro Lemos","Right-Back",NA,NA,32,"Cruciate ligament tear",NA,NA,NA,"injuries",NA,NA,5e+05,"https://www.transfermarkt.com/alvaro-lemos/profil/spieler/230222","Spain",NA
"LaLiga","Villarreal CF","Willy Kambwala","Centre-Back",NA,NA,21,"Hamstring injury",NA,NA,NA,"injuries",NA,NA,4e+06,"https://www.transfermarkt.com/willy-kambwala/profil/spieler/780630","France","DR Congo"
"LaLiga","FC Barcelona","Dani Olmo","Attacking Midfield",NA,NA,27,"Shoulder injury",NA,NA,NA,"injuries",NA,NA,6e+07,"https://www.transfermarkt.com/dani-olmo/profil/spieler/293385","Spain",NA
"LaLiga","Athletic Bilbao","Maroan Sannadi","Centre-Forward",NA,NA,24,"Knee injury",NA,NA,NA,"injuries",NA,NA,1e+07,"https://www.transfermarkt.com/maroan-sannadi/profil/spieler/1054934","Morocco","Spain"
"LaLiga","Real Madrid","Daniel Carvajal","Right-Back",NA,NA,33,"Knee injury",NA,NA,NA,"injuries",NA,NA,8e+06,"https://www.transfermarkt.com/daniel-carvajal/profil/spieler/138927","Spain",NA
"LaLiga","Getafe CF","Davinchi","Left-Back",NA,NA,18,"Meniscus tear",NA,NA,NA,"injuries",NA,NA,1e+06,"https://www.transfermarkt.com/davinchi/profil/spieler/1268764","Spain",NA
"LaLiga","FC Barcelona","Gavi","Central Midfield",NA,NA,21,"Arthroscopy",NA,NA,NA,"injuries",NA,NA,4e+07,"https://www.transfermarkt.com/gavi/profil/spieler/646740","Spain",NA
"LaLiga","Villarreal CF","Logan Costa","Centre-Back",NA,NA,24,"Cruciate ligament tear",NA,NA,NA,"injuries",NA,NA,1.8e+07,"https://www.transfermarkt.com/logan-costa/profil/spieler/484988","Cape Verde","France"
"LaLiga","Athletic Bilbao","Unai Egiluz","Centre-Back",NA,NA,23,"Cruciate ligament tear",NA,NA,NA,"injuries",NA,NA,6e+05,"https://www.transfermarkt.com/unai-egiluz/profil/spieler/834485","Spain",NA
"LaLiga","Girona FC","Donny van de Beek","Central Midfield",NA,NA,28,"Achilles tendon rupture",NA,NA,NA,"injuries",NA,NA,3e+06,"https://www.transfermarkt.com/donny-van-de-beek/profil/spieler/288255","Netherlands",NA
"LaLiga","Villarreal CF","Pau Cabanes","Centre-Forward",NA,NA,20,"Cruciate ligament tear",NA,NA,NA,"injuries",NA,NA,8e+05,"https://www.transfermarkt.com/pau-cabanes/profil/spieler/1063553","Spain",NA
"LaLiga","Athletic Bilbao","Beñat Prados","Central Midfield",NA,NA,24,"Cruciate ligament tear",NA,NA,NA,"injuries",NA,NA,1.8e+07,"https://www.transfermarkt.com/benat-prados/profil/spieler/625047","Spain",NA
"LaLiga","Girona FC","Portu","Right Winger",NA,NA,33,"Torn knee ligaments",NA,NA,NA,"injuries",NA,NA,1800000,"https://www.transfermarkt.com/portu/profil/spieler/99353","Spain",NA
"LaLiga","CA Osasuna","Iker Benito","Right Winger",NA,NA,23,"Cruciate ligament tear",NA,NA,NA,"injuries",NA,NA,1500000,"https://www.transfermarkt.com/iker-benito/profil/spieler/710679","Spain",NA
