comp_name,region,country,comp_url,sperrenausfaelle_url
Premier League,Europe,England,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1,https://www.transfermarkt.com/premier-league/sperrenausfaelle/wettbewerb/GB1
LaLiga,Europe,Spain,https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1,https://www.transfermarkt.com/laliga/sperrenausfaelle/wettbewerb/ES1
Serie A,Europe,Italy,https://www.transfermarkt.com/serie-a/startseite/wettbewerb/IT1,https://www.transfermarkt.com/serie-a/sperrenausfaelle/wettbewerb/IT1
Bundesliga,Europe,Germany,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1,https://www.transfermarkt.com/bundesliga/sperrenausfaelle/wettbewerb/L1
Ligue 1,Europe,France,https://www.transfermarkt.com/ligue-1/startseite/wettbewerb/FR1,https://www.transfermarkt.com/ligue-1/sperrenausfaelle/wettbewerb/FR1
Liga Portugal,Europe,Portugal,https://www.transfermarkt.com/liga-portugal/startseite/wettbewerb/PO1,https://www.transfermarkt.com/liga-portugal/sperrenausfaelle/wettbewerb/PO1
Eredivisie,Europe,Netherlands,https://www.transfermarkt.com/eredivisie/startseite/wettbewerb/NL1,https://www.transfermarkt.com/eredivisie/sperrenausfaelle/wettbewerb/NL1
Süper Lig,Europe,Türkiye,https://www.transfermarkt.com/super-lig/startseite/wettbewerb/TR1,https://www.transfermarkt.com/super-lig/sperrenausfaelle/wettbewerb/TR1
Jupiler Pro League,Europe,Belgium,https://www.transfermarkt.com/jupiler-pro-league/startseite/wettbewerb/BE1,https://www.transfermarkt.com/jupiler-pro-league/sperrenausfaelle/wettbewerb/BE1
Premier Liga,Europe,Russia,https://www.transfermarkt.com/premier-liga/startseite/wettbewerb/RU1,https://www.transfermarkt.com/premier-liga/sperrenausfaelle/wettbewerb/RU1
Super League 1,Europe,Greece,https://www.transfermarkt.com/super-league-1/startseite/wettbewerb/GR1,https://www.transfermarkt.com/super-league-1/sperrenausfaelle/wettbewerb/GR1
Super League,Europe,Switzerland,https://www.transfermarkt.com/super-league/startseite/wettbewerb/C1,https://www.transfermarkt.com/super-league/sperrenausfaelle/wettbewerb/C1
Premier Liga,Europe,Ukraine,https://www.transfermarkt.com/premier-liga/startseite/wettbewerb/UKR1,https://www.transfermarkt.com/premier-liga/sperrenausfaelle/wettbewerb/UKR1
Bundesliga,Europe,Austria,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/A1,https://www.transfermarkt.com/bundesliga/sperrenausfaelle/wettbewerb/A1
Chance Liga,Europe,Czech Republic,https://www.transfermarkt.com/chance-liga/startseite/wettbewerb/TS1,https://www.transfermarkt.com/chance-liga/sperrenausfaelle/wettbewerb/TS1
Superliga,Europe,Denmark,https://www.transfermarkt.com/superliga/startseite/wettbewerb/DK1,https://www.transfermarkt.com/superliga/sperrenausfaelle/wettbewerb/DK1
Premiership,Europe,Scotland,https://www.transfermarkt.com/scottish-premiership/startseite/wettbewerb/SC1,https://www.transfermarkt.com/scottish-premiership/sperrenausfaelle/wettbewerb/SC1
Ekstraklasa,Europe,Poland,https://www.transfermarkt.com/pko-bp-ekstraklasa/startseite/wettbewerb/PL1,https://www.transfermarkt.com/pko-bp-ekstraklasa/sperrenausfaelle/wettbewerb/PL1
Super liga Srbije,Europe,Serbia,https://www.transfermarkt.com/super-liga-srbije/startseite/wettbewerb/SER1,https://www.transfermarkt.com/super-liga-srbije/sperrenausfaelle/wettbewerb/SER1
Eliteserien,Europe,Norway,https://www.transfermarkt.com/eliteserien/startseite/wettbewerb/NO1,https://www.transfermarkt.com/eliteserien/sperrenausfaelle/wettbewerb/NO1
Allsvenskan,Europe,Sweden,https://www.transfermarkt.com/allsvenskan/startseite/wettbewerb/SE1,https://www.transfermarkt.com/allsvenskan/sperrenausfaelle/wettbewerb/SE1
SuperLiga,Europe,Romania,https://www.transfermarkt.com/superliga/startseite/wettbewerb/RO1,https://www.transfermarkt.com/superliga/sperrenausfaelle/wettbewerb/RO1
SuperSport HNL,Europe,Croatia,https://www.transfermarkt.com/supersport-hnl/startseite/wettbewerb/KR1,https://www.transfermarkt.com/supersport-hnl/sperrenausfaelle/wettbewerb/KR1
efbet Liga,Europe,Bulgaria,https://www.transfermarkt.com/efbet-liga/startseite/wettbewerb/BU1,https://www.transfermarkt.com/efbet-liga/sperrenausfaelle/wettbewerb/BU1
NB I.,Europe,Hungary,https://www.transfermarkt.com/nemzeti-bajnoksag/startseite/wettbewerb/UNG1,https://www.transfermarkt.com/nemzeti-bajnoksag/sperrenausfaelle/wettbewerb/UNG1
Saudi Pro League,Asia,Saudi Arabia,https://www.transfermarkt.com/saudi-pro-league/startseite/wettbewerb/SA1,https://www.transfermarkt.com/saudi-pro-league/sperrenausfaelle/wettbewerb/SA1
UAE Pro League,Asia,United Arab Emirates,https://www.transfermarkt.com/uae-pro-league/startseite/wettbewerb/UAE1,https://www.transfermarkt.com/uae-pro-league/sperrenausfaelle/wettbewerb/UAE1
Stars League,Asia,Qatar,https://www.transfermarkt.com/qatar-stars-league/startseite/wettbewerb/QSL,https://www.transfermarkt.com/qatar-stars-league/sperrenausfaelle/wettbewerb/QSL
J1 League,Asia,Japan,https://www.transfermarkt.com/j1-league/startseite/wettbewerb/JAP1,https://www.transfermarkt.com/j1-league/sperrenausfaelle/wettbewerb/JAP1
K League 1,Asia,"Korea, South",https://www.transfermarkt.com/k-league-1/startseite/wettbewerb/RSK1,https://www.transfermarkt.com/k-league-1/sperrenausfaelle/wettbewerb/RSK1
Persian Gulf Pro League,Asia,Iran,https://www.transfermarkt.com/persian-gulf-pro-league/startseite/wettbewerb/IRN1,https://www.transfermarkt.com/persian-gulf-pro-league/sperrenausfaelle/wettbewerb/IRN1
Super League,Asia,China,https://www.transfermarkt.com/chinese-super-league/startseite/wettbewerb/CSL,https://www.transfermarkt.com/chinese-super-league/sperrenausfaelle/wettbewerb/CSL
A-League Men,Asia,Australia,https://www.transfermarkt.com/a-league-men/startseite/wettbewerb/AUS1,https://www.transfermarkt.com/a-league-men/sperrenausfaelle/wettbewerb/AUS1
Superliga,Asia,Uzbekistan,https://www.transfermarkt.com/ozbekiston-superligasi/startseite/wettbewerb/UZ1,https://www.transfermarkt.com/ozbekiston-superligasi/sperrenausfaelle/wettbewerb/UZ1
Iraq Stars League,Asia,Iraq,https://www.transfermarkt.com/iraq-stars-league/startseite/wettbewerb/IRQ1,https://www.transfermarkt.com/iraq-stars-league/sperrenausfaelle/wettbewerb/IRQ1
Thai League,Asia,Thailand,https://www.transfermarkt.com/thai-league/startseite/wettbewerb/THA1,https://www.transfermarkt.com/thai-league/sperrenausfaelle/wettbewerb/THA1
Liga 1,Asia,Indonesia,https://www.transfermarkt.com/liga-1-indonesia/startseite/wettbewerb/IN1L,https://www.transfermarkt.com/liga-1-indonesia/sperrenausfaelle/wettbewerb/IN1L
Indian Super League,Asia,India,https://www.transfermarkt.com/indian-super-league/startseite/wettbewerb/IND1,https://www.transfermarkt.com/indian-super-league/sperrenausfaelle/wettbewerb/IND1
Super League,Asia,Malaysia,https://www.transfermarkt.com/malaysia-super-league/startseite/wettbewerb/MYS1,https://www.transfermarkt.com/malaysia-super-league/sperrenausfaelle/wettbewerb/MYS1
